timestamp,granulPeriod,DRB.UEThpDl,DRB.UEThpUl,DRB.RlcPacketDropRateDl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL
2025-04-13 08:53:00,1000,0.0,0.0,0,0,0,0
2025-04-13 08:54:18,1000,0.0,0.0,0,0,0,0
2025-04-13 08:54:22,1000,0.0,0.0,0,0,0,0
2025-04-13 08:54:26,1000,13.0,903.0,0,100,13,895
2025-04-13 08:54:30,1000,5.0,986.0,0,100,5,978
2025-04-13 08:54:34,1000,5.0,986.0,0,100,5,977
2025-04-13 08:54:38,1000,5.0,988.0,0,100,5,980
2025-04-13 08:54:42,1000,5.0,985.0,0,100,5,977
2025-04-13 08:54:46,1000,5.0,987.0,0,100,5,979
2025-04-13 08:54:50,1000,5.0,986.0,0,100,5,978
2025-04-13 08:54:54,1000,2.0,573.0,0,100,2,569
2025-04-13 08:54:58,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:02,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:06,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:10,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:14,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:18,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:22,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:26,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:30,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:34,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:38,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:42,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:46,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:50,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:54,1000,0.0,0.0,0,0,0,0
2025-04-13 08:55:58,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:02,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:06,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:10,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:14,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:18,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:22,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:26,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:30,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:34,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:38,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:42,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:46,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:50,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:54,1000,0.0,0.0,0,0,0,0
2025-04-13 08:56:58,1000,12.0,958.0,0,100,12,951
2025-04-13 08:57:02,1000,5.0,955.0,0,100,5,948
2025-04-13 08:57:06,1000,5.0,953.0,0,100,5,946
2025-04-13 08:57:10,1000,5.0,952.0,0,100,5,945
2025-04-13 08:57:14,1000,5.0,959.0,0,100,5,952
2025-04-13 08:57:18,1000,5.0,946.0,0,100,5,939
2025-04-13 08:57:22,1000,5.0,954.0,0,100,5,946
2025-04-13 08:57:26,1000,2.0,468.0,0,100,2,465
2025-04-13 08:57:30,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:34,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:38,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:42,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:46,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:50,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:54,1000,0.0,0.0,0,0,0,0
2025-04-13 08:57:58,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:02,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:06,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:10,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:14,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:18,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:22,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:26,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:30,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:34,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:38,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:42,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:46,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:50,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:54,1000,0.0,0.0,0,0,0,0
2025-04-13 08:58:58,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:02,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:06,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:10,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:14,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:18,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:22,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:26,1000,0.0,0.0,0,0,0,0
2025-04-13 08:59:30,1000,13.0,1055.0,0,100,13,1047
2025-04-13 08:59:34,1000,6.0,1028.0,0,100,6,1021
2025-04-13 08:59:38,1000,6.0,1045.0,0,100,6,1036
2025-04-13 08:59:42,1000,6.0,1027.0,0,100,6,1021
2025-04-13 08:59:46,1000,6.0,1038.0,0,100,6,1030
2025-04-13 08:59:50,1000,6.0,1037.0,0,100,6,1028
2025-04-13 08:59:54,1000,6.0,1037.0,0,100,6,1028
2025-04-13 08:59:58,1000,3.0,507.0,0,100,3,504
2025-04-13 09:00:02,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:06,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:10,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:14,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:18,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:22,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:26,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:30,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:34,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:38,1000,0.0,0.0,0,0,0,0
2025-04-13 09:00:42,1000,0.0,0.0,0,0,0,0
